url,fqdn,positives,total,detected_engines,scan_date
http://120.48.19.10/,120.48.19.10,6,87,"{'Comodo Valkyrie Verdict': {'detected': True, 'result': 'malicious site'}, 'CRDF': {'detected': True, 'result': 'malicious site'}, 'CyRadar': {'detected': True, 'result': 'malicious site'}, 'EmergingThreats': {'detected': True, 'result': 'malicious site'}, 'IPsum': {'detected': True, 'result': 'malicious site'}, 'GreenSnow': {'detected': True, 'result': 'malicious site'}}",2021-05-07 08:53:18
http://43.251.159.144/,43.251.159.144,5,87,"{'Comodo Valkyrie Verdict': {'detected': True, 'result': 'malicious site'}, 'Webroot': {'detected': True, 'result': 'malicious site'}, 'EmergingThreats': {'detected': True, 'result': 'malicious site'}, 'IPsum': {'detected': True, 'result': 'malicious site'}, 'Spamhaus': {'detected': True, 'result': 'malicious site'}}",2021-05-07 08:53:18
http://180.167.168.2/,180.167.168.2,5,87,"{'Comodo Valkyrie Verdict': {'detected': True, 'result': 'malicious site'}, 'CyRadar': {'detected': True, 'result': 'malicious site'}, 'EmergingThreats': {'detected': True, 'result': 'malicious site'}, 'IPsum': {'detected': True, 'result': 'malicious site'}, 'GreenSnow': {'detected': True, 'result': 'malicious site'}}",2021-05-07 08:53:19
http://103.146.221.125/,103.146.221.125,6,87,"{'Comodo Valkyrie Verdict': {'detected': True, 'result': 'malicious site'}, 'CRDF': {'detected': True, 'result': 'malicious site'}, 'CyRadar': {'detected': True, 'result': 'malicious site'}, 'EmergingThreats': {'detected': True, 'result': 'malicious site'}, 'IPsum': {'detected': True, 'result': 'malicious site'}, 'GreenSnow': {'detected': True, 'result': 'malicious site'}}",2021-05-07 08:53:18
http://91.203.145.116/,91.203.145.116,7,87,"{'Comodo Valkyrie Verdict': {'detected': True, 'result': 'malware site'}, 'CRDF': {'detected': True, 'result': 'malicious site'}, 'CyRadar': {'detected': True, 'result': 'malicious site'}, 'Webroot': {'detected': True, 'result': 'malicious site'}, 'IPsum': {'detected': True, 'result': 'malicious site'}, 'Spamhaus': {'detected': True, 'result': 'malicious site'}, 'GreenSnow': {'detected': True, 'result': 'malicious site'}}",2021-05-07 08:53:19
http://mipasillointerior.es/,mipasillointerior.es,2,87,"{'Fortinet': {'detected': True, 'result': 'phishing site'}, 'Webroot': {'detected': True, 'result': 'malicious site'}}",2021-05-07 08:58:49
http://5.199.171.58/,5.199.171.58,5,87,"{'Comodo Valkyrie Verdict': {'detected': True, 'result': 'malware site'}, 'Fortinet': {'detected': True, 'result': 'malware site'}, 'ADMINUSLabs': {'detected': True, 'result': 'malicious site'}, 'Webroot': {'detected': True, 'result': 'malicious site'}, 'Forcepoint ThreatSeeker': {'detected': True, 'result': 'malicious site'}}",2021-05-07 08:53:18
http://139.155.239.207/,139.155.239.207,4,87,"{'CRDF': {'detected': True, 'result': 'malicious site'}, 'CyRadar': {'detected': True, 'result': 'malicious site'}, 'IPsum': {'detected': True, 'result': 'malicious site'}, 'GreenSnow': {'detected': True, 'result': 'malicious site'}}",2021-05-07 08:53:19
http://healthhelpernews.com/,healthhelpernews.com,4,88,"{'Fortinet': {'detected': True, 'result': 'phishing site'}, 'alphaMountain.ai': {'detected': True, 'result': 'phishing site'}, 'CyRadar': {'detected': True, 'result': 'malicious site'}, 'Webroot': {'detected': True, 'result': 'malicious site'}}",2021-05-07 08:58:48
http://123.6.5.104/,123.6.5.104,5,87,"{'Comodo Valkyrie Verdict': {'detected': True, 'result': 'malicious site'}, 'EmergingThreats': {'detected': True, 'result': 'malicious site'}, 'IPsum': {'detected': True, 'result': 'malicious site'}, 'BitDefender': {'detected': True, 'result': 'malware site'}, 'GreenSnow': {'detected': True, 'result': 'malicious site'}}",2021-05-07 08:53:19
